player,team,fga,fgm,xpa,xpm
Justin Tucker,BAL,43,37,32,31
Ryan Succop,TAM,38,31,25,24
Daniel Carlson,LVR,37,34,36,35
Nick Folk,NWE,37,32,35,32
Younghoe Koo,ATL,37,32,35,33
Jason Myers,SEA,37,34,42,41
Greg Zuerlein,NYJ,37,30,29,28
Chase McLaughlin,IND,36,30,21,21
Brandon McManus,DEN,36,28,27,25
Riley Patterson,JAX,35,30,37,36
Eddy Piñeiro,CAR,35,33,32,30
Greg Joseph,MIN,33,26,46,40
Graham Gano,NYG,32,29,34,32
Robbie Gould,SFO,32,27,51,50
Brett Maher,DAL,32,29,53,50
Jason Sanders,MIA,32,26,44,41
Cade York,CLE,32,24,37,35
Tyler Bass,BUF,31,27,50,48
Ka'imi Fairbairn,HOU,31,29,24,24
Wil Lutz,NOR,31,23,33,33
Matt Gay,LAR,30,28,32,31
Joey Slye,WAS,30,25,28,24
Mason Crosby,GNB,29,25,39,37
Evan McPherson,CIN,29,24,44,40
Chris Boswell,PIT,28,20,18,18
Matt Prater,ARI,25,22,18,17
Michael Badgley,CHI,28,24,33,33
Harrison Butker,KAN,24,18,41,38
Jake Elliott,PHI,23,20,53,51
Cairo Santos,CHI,23,21,32,27
Randy Bullock,TEN,20,17,28,28
Cameron Dicker,LAC,22,21,24,24
Matthew Wright,PIT,18,15,15,15
Dustin Hopkins,LAC,10,9,12,12
Austin Seibert,DET,5,3,12,12
Matt Ammendola,KAN,7,5,7,5
Caleb Shudak,TEN,4,3,1,1
Taylor Bertolet,LAC,3,3,6,6
Rodrigo Blankenship,IND,5,4,5,4
Nick Sciba,PIT,2,2,1,1
Tristan Vizcaino,ARI,2,2,3,3
Dominik Eberle,DET,1,1,4,2
