player,team,fantasy_pos,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost
Saquon Barkley,PHI,RB,16,0,0,0,0,0,345,2005,13,43,33,278,2,1
Derrick Henry,BAL,RB,17,0,0,0,0,0,325,1921,16,22,19,193,2,1
Jahmyr Gibbs,DET,RB,17,0,0,0,0,0,250,1412,16,63,52,517,4,1
Lamar Jackson,BAL,QB,17,316,474,4172,41,4,139,915,4,0,0,0,0,5
Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,3,32,0,175,127,1708,17,0
Bijan Robinson,ATL,RB,17,0,0,0,0,0,304,1456,14,72,61,431,1,0
Josh Jacobs,GNB,RB,17,0,0,0,0,0,301,1329,15,43,36,342,1,3
Josh Allen,BUF,QB,17,307,483,3731,28,6,102,531,12,0,0,7,1,2
Joe Burrow,CIN,QB,17,460,652,4918,43,9,42,201,2,0,0,0,0,5
Kyren Williams,LAR,RB,16,0,0,0,0,0,316,1299,14,40,34,182,2,3
James Cook,BUF,RB,16,0,0,0,0,0,207,1009,16,38,32,258,2,0
Justin Jefferson,MIN,WR,17,1,1,22,0,0,1,3,0,154,103,1533,10,0
Baker Mayfield,TAM,QB,17,407,570,4500,41,16,60,378,3,0,0,0,0,2
Jonathan Taylor,IND,RB,14,0,0,0,0,0,303,1431,11,31,18,136,1,1
George Kittle,SFO,TE,15,0,0,0,0,0,0,0,0,94,78,1106,8,0
Jayden Daniels,WAS,QB,17,331,480,3568,25,9,148,891,6,0,0,0,0,0
De'Von Achane,MIA,RB,17,0,0,0,0,0,203,907,6,87,78,592,6,0
Amon-Ra St. Brown,DET,WR,17,1,1,7,1,0,2,6,0,141,115,1263,12,1
Brian Thomas,JAX,WR,17,0,0,0,0,0,6,48,0,133,87,1282,10,0
Brock Bowers,LVR,TE,17,0,0,0,0,0,5,13,0,153,112,1194,5,0
James Conner,ARI,RB,16,0,0,0,0,0,236,1094,8,55,47,414,1,1
Joe Mixon,HOU,RB,14,0,1,0,0,0,245,1016,11,52,36,309,1,0
Terry McLaurin,WAS,WR,17,0,0,0,0,0,2,2,0,117,82,1096,13,1
Trey McBride,ARI,TE,16,0,0,0,0,0,1,2,1,147,111,1146,2,0
Chase Brown,CIN,RB,16,0,0,0,0,0,229,990,7,65,54,360,4,1
Drake London,ATL,WR,17,0,0,0,0,0,1,-3,0,158,100,1271,9,0
Chuba Hubbard,CAR,RB,15,0,0,0,0,0,250,1195,10,54,43,171,1,3
Jonnu Smith,MIA,TE,17,0,0,0,0,0,2,-1,0,111,88,884,8,1
Mark Andrews,BAL,TE,17,0,0,0,0,0,4,5,0,69,55,673,11,0
Bucky Irving,TAM,RB,17,0,0,0,0,0,207,1122,8,52,47,392,0,1
Alvin Kamara,NOR,RB,14,0,0,0,0,0,228,950,6,89,68,543,2,0
Aaron Jones,MIN,RB,17,0,0,0,0,0,255,1138,5,62,51,408,2,3
Jared Goff,DET,QB,17,390,539,4629,37,12,35,56,0,1,1,7,1,0
David Montgomery,DET,RB,14,1,1,3,1,0,185,775,12,38,36,341,0,1
Mike Evans,TAM,WR,14,0,0,0,0,0,0,0,0,110,74,1004,11,0
Breece Hall,NYJ,RB,16,0,0,0,0,0,209,876,5,76,57,483,3,2
Malik Nabers,NYG,WR,15,0,1,0,0,0,5,2,0,170,109,1204,7,0
Bo Nix,DEN,QB,17,376,567,3775,29,12,92,430,4,1,1,2,1,0
Jalen Hurts,PHI,QB,15,248,361,2903,18,5,150,630,14,0,0,0,0,5
CeeDee Lamb,DAL,WR,15,0,0,0,0,0,14,70,0,152,101,1194,6,1
Sam LaPorta,DET,TE,16,0,0,0,0,0,0,0,0,83,60,726,7,0
Courtland Sutton,DEN,WR,17,2,2,30,1,0,0,0,0,135,81,1081,8,1
Ladd McConkey,LAC,WR,16,0,0,0,0,0,0,0,0,112,82,1149,7,0
Tucker Kraft,GNB,TE,17,0,0,0,0,0,3,6,0,70,50,707,7,1
Zach Ertz,WAS,TE,17,0,0,0,0,0,0,0,0,91,66,654,7,0
Davante Adams,2TM,WR,14,0,0,0,0,0,0,0,0,141,85,1063,8,0
Sam Darnold,MIN,QB,17,361,545,4319,35,12,67,212,1,0,0,0,0,4
Jameson Williams,DET,WR,15,0,0,0,0,0,11,61,1,91,58,1001,7,0
D'Andre Swift,CHI,RB,17,0,0,0,0,0,253,959,6,52,42,386,0,0
Jaxon Smith-Njigba,SEA,WR,17,1,1,35,0,0,5,26,0,137,100,1130,6,0
Jerry Jeudy,CLE,WR,17,0,0,0,0,0,0,0,0,145,90,1229,4,0
Garrett Wilson,NYJ,WR,17,0,0,0,0,0,2,5,0,154,101,1104,7,2
Najee Harris,PIT,RB,17,0,0,0,0,0,263,1043,6,48,36,283,0,0
Jordan Addison,MIN,WR,15,0,0,0,0,0,3,20,1,99,63,875,9,0
A.J. Brown,PHI,WR,13,0,0,0,0,0,0,0,0,97,67,1079,7,0
Tee Higgins,CIN,WR,12,0,0,0,0,0,0,0,0,109,73,911,10,1
Pat Freiermuth,PIT,TE,17,0,0,0,0,0,0,0,0,78,65,653,7,2
Kyler Murray,ARI,QB,17,372,541,3851,21,11,78,572,5,0,0,0,0,4
Travis Kelce,KAN,TE,16,0,0,0,0,0,1,1,0,133,97,823,3,1
Nico Collins,HOU,WR,12,0,0,0,0,0,0,0,0,99,68,1006,7,0
Jayden Reed,GNB,WR,17,0,0,0,0,0,20,163,1,75,55,857,6,1
J.K. Dobbins,LAC,RB,13,0,0,0,0,0,195,905,9,38,32,153,0,0
Tony Pollard,TEN,RB,16,0,0,0,0,0,260,1079,5,57,41,238,0,2
Rico Dowdle,DAL,RB,16,0,0,0,0,0,235,1079,2,49,39,249,3,2
D.J. Moore,CHI,WR,17,0,1,0,0,0,14,75,0,140,98,966,6,1
Tyreek Hill,MIA,WR,17,0,0,0,0,0,8,53,0,123,81,959,6,0
Zay Flowers,BAL,WR,17,0,0,0,0,0,9,56,0,116,74,1059,4,0
Marvin Harrison Jr.,ARI,WR,17,0,0,0,0,0,0,0,0,116,62,885,8,1
Calvin Ridley,TEN,WR,17,0,0,0,0,0,8,55,1,120,64,1017,4,1
Jauan Jennings,SFO,WR,15,0,0,0,0,0,0,0,0,113,77,975,6,0
Justin Herbert,LAC,QB,17,332,504,3870,23,3,69,306,2,0,0,0,0,2
DeVonta Smith,PHI,WR,13,0,0,0,0,0,1,1,0,89,68,833,8,0
Jakobi Meyers,LVR,WR,15,0,0,0,0,0,2,23,0,129,87,1027,4,0
Patrick Mahomes,KAN,QB,16,392,581,3928,26,11,58,307,2,1,1,2,0,0
Brock Purdy,SFO,QB,15,300,455,3864,20,12,66,323,5,0,0,0,0,3
Geno Smith,SEA,QB,17,407,578,4320,21,15,53,272,2,0,0,0,0,0
Aaron Rodgers,NYJ,QB,17,368,584,3897,28,11,22,107,0,0,0,0,0,2
Caleb Williams,CHI,QB,17,351,562,3541,20,6,81,489,0,0,0,0,0,5
Jordan Love,GNB,QB,15,268,425,3389,25,11,25,83,1,0,0,0,0,0
C.J. Stroud,HOU,QB,17,336,532,3727,20,12,52,233,0,1,0,0,0,4
Matthew Stafford,LAR,QB,16,340,517,3762,20,8,30,41,0,0,0,0,0,2
Bryce Young,CAR,QB,14,234,384,2403,15,9,43,249,6,0,0,0,0,2
Tua Tagovailoa,MIA,QB,11,291,399,2867,19,7,17,49,0,0,0,0,0,2
Drake Maye,NWE,QB,13,225,338,2276,15,10,54,421,2,0,0,0,0,6
Kirk Cousins,ATL,QB,14,303,453,3508,18,16,23,0,0,0,0,0,0,2
Russell Wilson,PIT,QB,11,214,336,2482,16,5,43,155,2,0,0,0,0,4
Anthony Richardson,IND,QB,11,126,264,1814,8,12,86,499,6,1,1,-1,0,3
Derek Carr,NOR,QB,10,189,279,2145,15,5,17,71,1,0,0,0,0,0
Rachaad White,TAM,RB,16,0,0,0,0,0,144,613,3,57,51,393,6,3
Zach Charbonnet,SEA,RB,17,0,0,0,0,0,135,569,8,52,42,340,1,0
Trevor Lawrence,JAX,QB,10,172,284,2045,11,7,26,119,3,0,0,-5,0,1
Tyrone Tracy Jr.,NYG,RB,17,0,0,0,0,0,192,839,5,53,38,284,1,2
Rhamondre Stevenson,NWE,RB,15,0,0,0,0,0,207,801,7,41,33,168,1,3
Brian Robinson Jr.,WAS,RB,14,0,0,0,0,0,187,799,8,25,20,159,0,2
Daniel Jones,NYG,QB,10,216,341,2070,8,7,67,265,2,0,0,0,0,2
Kenneth Walker III,SEA,RB,11,0,0,0,0,0,153,573,7,53,46,299,1,0
Kareem Hunt,KAN,RB,13,0,0,0,0,0,200,728,7,32,23,176,0,0
Jameis Winston,CLE,QB,12,181,296,2121,13,12,25,83,1,0,0,0,0,2
Rashod Bateman,BAL,WR,17,0,0,0,0,0,0,0,0,72,45,756,9,0
Darnell Mooney,ATL,WR,16,0,1,0,0,0,0,0,0,106,64,992,5,0
Puka Nacua,LAR,WR,11,0,0,0,0,0,11,46,1,106,79,990,3,0
Xavier Worthy,KAN,WR,17,0,0,0,0,0,20,104,3,98,59,638,6,0
D.K. Metcalf,SEA,WR,15,0,0,0,0,0,0,0,0,108,66,992,5,2
Alec Pierce,IND,WR,16,0,0,0,0,0,0,0,0,69,37,824,7,0
Tank Bigsby,JAX,RB,16,0,0,0,0,0,168,766,7,12,7,54,0,1
Quentin Johnston,LAC,WR,15,0,0,0,0,0,3,6,0,91,55,711,8,0
Will Levis,TEN,QB,12,190,301,2091,13,12,45,183,0,0,0,0,0,6
Justin Fields,PIT,QB,10,106,161,1106,5,1,62,289,5,0,0,0,0,1
Dak Prescott,DAL,QB,8,185,286,1978,11,8,13,54,1,0,0,0,0,1
Keenan Allen,CHI,WR,15,0,1,0,0,1,0,0,0,121,70,744,7,0
Josh Downs,IND,WR,14,0,0,0,0,0,1,12,0,107,72,803,5,0
Cooper Rush,DAL,QB,12,187,308,1844,12,5,26,18,0,0,0,0,0,3
Cooper Kupp,LAR,WR,12,0,0,0,0,0,2,10,0,100,67,710,6,0
Khalil Shakir,BUF,WR,15,0,0,0,0,0,2,4,0,100,76,821,4,0
Javonte Williams,DEN,RB,17,0,0,0,0,0,139,513,4,70,52,346,0,2
George Pickens,PIT,WR,14,0,0,0,0,0,2,-6,0,103,59,900,3,1
Jordan Mason,SFO,RB,12,0,0,0,0,0,153,789,3,14,11,91,0,1
Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,0,0,0,60,32,497,9,0
Deebo Samuel,SFO,WR,15,0,0,0,0,0,42,136,1,81,51,670,3,1
Jalen Tolbert,DAL,WR,17,0,0,0,0,0,0,0,0,79,49,610,7,0
Alexander Mattison,LVR,RB,14,0,0,0,0,0,132,420,4,48,36,294,1,1
Ray Davis,BUF,RB,17,0,0,0,0,0,113,442,3,19,17,189,3,0
Joe Flacco,IND,QB,8,162,248,1761,12,7,9,26,0,0,0,0,0,4
Jalen McMillan,TAM,WR,13,0,0,0,0,0,4,43,0,58,37,461,8,0
Austin Ekeler,WAS,RB,12,0,0,0,0,0,77,367,4,41,35,366,0,0
Jerome Ford,CLE,RB,14,0,0,0,0,0,104,565,3,43,37,225,0,0
Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,0,0,0,111,69,808,3,1
Mac Jones,JAX,QB,10,171,262,1672,8,8,28,92,1,0,0,0,0,2
Gardner Minshew II,LVR,QB,10,203,306,2013,9,10,19,58,0,0,0,0,0,4
Mason Rudolph,TEN,QB,8,146,228,1530,9,9,25,106,1,0,0,0,0,1
Tyler Allgeier,ATL,RB,17,0,0,0,0,0,137,644,3,13,13,88,0,0
Aidan O'Connell,LVR,QB,9,154,243,1612,8,4,21,30,1,0,0,0,0,2
Demarcus Robinson,LAR,WR,17,0,0,0,0,0,0,0,0,64,31,505,7,0
Adam Thielen,CAR,WR,10,0,0,0,0,0,0,0,0,62,48,615,5,0
Jaylen Waddle,MIA,WR,15,0,0,0,0,0,4,12,0,83,58,744,2,0
Travis Etienne,JAX,RB,15,0,0,0,0,0,150,558,2,52,39,254,0,1
DeAndre Hopkins,2TM,WR,16,0,0,0,0,0,0,0,0,80,56,610,5,0
Marvin Mims,DEN,WR,17,0,0,0,0,0,13,42,0,52,39,503,6,0
Rome Odunze,CHI,WR,17,0,0,0,0,0,3,15,0,101,54,734,3,1
Wan'Dale Robinson,NYG,WR,17,0,0,0,0,0,3,18,0,140,93,699,3,0
Tank Dell,HOU,WR,14,0,0,0,0,0,9,43,0,81,51,667,3,0
Allen Lazard,NYJ,WR,12,0,1,0,0,0,0,0,0,60,37,530,6,0
Chris Godwin,TAM,WR,7,0,0,0,0,0,1,2,0,62,50,576,5,0
Romeo Doubs,GNB,WR,13,0,0,0,0,0,0,0,0,72,46,601,4,0
Jaylen Warren,PIT,RB,15,0,0,0,0,0,120,511,1,47,38,310,0,1
Ameer Abdullah,LVR,RB,16,0,0,0,0,0,66,311,2,47,40,261,3,1
Justice Hill,BAL,RB,15,0,0,0,0,0,47,228,1,51,42,383,3,0
David Njoku,CLE,TE,11,0,0,0,0,0,0,0,0,97,64,505,5,0
Emanuel Wilson,GNB,RB,17,0,0,0,0,0,103,502,4,14,11,48,1,0
Andrei Iosivas,CIN,WR,17,0,0,0,0,0,0,0,0,61,36,479,6,0
Kyle Pitts,ATL,TE,17,0,0,0,0,0,0,0,0,74,47,602,4,0
Tyjae Spears,TEN,RB,12,0,0,0,0,0,84,312,4,35,30,224,1,0
Calvin Austin III,PIT,WR,17,0,0,0,0,0,0,0,0,58,36,548,4,1
Keon Coleman,BUF,WR,13,0,0,0,0,0,1,9,0,57,29,556,4,0
DeMario Douglas,NWE,WR,17,0,0,0,0,0,3,16,0,87,66,621,3,0
Isaiah Likely,BAL,TE,16,0,0,0,0,0,0,0,0,58,42,477,6,1
Cade Otton,TAM,TE,14,0,0,0,0,0,1,-4,0,87,59,600,4,1
Tre Tucker,LVR,WR,17,0,0,0,0,0,9,44,1,81,47,539,3,0
Antonio Gibson,NWE,RB,17,0,0,0,0,0,120,538,1,29,23,206,0,0
Drew Lock,NYG,QB,8,107,181,1071,6,5,18,133,2,0,0,0,0,2
Cam Akers,2TM,RB,17,0,0,0,0,0,104,444,2,18,14,68,3,1
Kayshon Boutte,NWE,WR,15,0,0,0,0,0,0,0,0,68,43,589,3,0
Amari Cooper,2TM,WR,14,0,0,0,0,0,0,0,0,85,44,547,4,0
Isaac Guerendo,SFO,RB,16,0,0,0,0,0,84,420,4,16,15,152,0,1
Hunter Henry,NWE,TE,16,0,0,0,0,0,0,0,0,97,66,674,2,0
Taysom Hill,NOR,TE,8,2,4,21,0,1,39,278,6,31,23,187,0,1
Ray-Ray McCloud,ATL,WR,17,0,0,0,0,0,10,79,0,87,62,686,1,2
Michael Wilson,ARI,WR,16,0,0,0,0,0,1,7,0,71,47,548,4,1
Mike Gesicki,CIN,TE,17,0,0,0,0,0,0,0,0,83,65,665,2,1
Deshaun Watson,CLE,QB,7,137,216,1148,5,3,31,148,1,0,0,0,0,3
Xavier Legette,CAR,WR,16,0,0,0,0,0,6,24,0,84,49,497,4,0
Devin Singletary,NYG,RB,15,0,0,0,0,0,113,437,4,24,21,119,0,2
Christian Watson,GNB,WR,15,0,0,0,0,0,4,23,0,53,29,620,2,1
Stefon Diggs,HOU,WR,8,1,1,13,0,0,3,8,1,64,47,496,3,0
Jalen Nailor,MIN,WR,17,0,0,0,0,0,3,-4,0,42,28,414,6,1
Ty Johnson,BUF,RB,17,0,0,0,0,0,41,213,1,25,18,284,3,0
Noah Gray,KAN,TE,17,0,0,0,0,0,1,-4,0,49,40,437,5,0
Juwan Johnson,NOR,TE,17,0,0,0,0,0,0,0,0,66,50,548,3,0
