team,points_allowed,turnovers,pass_int,fumbles_lost_by_opp,sacks
Seattle Seahawks,292,25,18,7,47
Houston Texans,295,29,19,10,47
Denver Broncos,311,14,10,4,68
New England Patriots,320,19,10,9,35
Philadelphia Eagles,325,21,12,9,42
Kansas City Chiefs,328,14,10,4,35
Minnesota Vikings,333,21,8,13,49
Jacksonville Jaguars,336,31,22,9,32
Los Angeles Chargers,340,23,19,4,45
Los Angeles Rams,346,26,16,10,47
Green Bay Packers,360,14,7,7,36
Buffalo Bills,365,20,13,7,36
San Francisco 49ers,371,16,6,10,20
Cleveland Browns,379,18,11,7,53
Carolina Panthers,380,21,15,6,30
New Orleans Saints,383,20,10,10,45
Pittsburgh Steelers,387,27,15,12,48
Baltimore Ravens,398,20,11,9,30
Atlanta Falcons,401,23,16,7,57
Tampa Bay Buccaneers,411,23,13,10,37
Indianapolis Colts,412,21,14,7,39
Detroit Lions,413,19,13,6,49
Chicago Bears,415,33,23,10,35
Miami Dolphins,424,20,9,11,39
Las Vegas Raiders,432,16,8,8,37
New York Giants,439,15,9,6,39
Washington Commanders,451,10,8,2,42
Tennessee Titans,478,14,6,8,42
Arizona Cardinals,488,19,10,9,30
Cincinnati Bengals,492,21,13,8,35
New York Jets,503,4,0,4,26
Dallas Cowboys,511,12,6,6,35
