"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","275.2","1383.7","13.8","71.3","581.1","4.1","1.1","337.4"
"Bijan Robinson","ATL","285.8","1391.1","8.8","76.9","705.6","3.5","1.8","318.2"
"Christian McCaffrey","SF","269.7","1093.6","8.7","78.6","693.0","4.6","1.1","295.5"
"Jonathan Taylor","IND","326.9","1505.8","12.9","42.8","341.0","1.5","1.7","288.7"
"Derrick Henry","BAL","316.0","1577.2","13.4","18.1","175.0","0.7","1.7","265.8"
"De'Von Achane","MIA","238.4","1200.8","6.0","65.5","491.8","4.0","1.0","260.0"
"James Cook III","BUF","287.8","1405.6","10.3","33.3","283.4","1.9","2.4","254.1"
"Chase Brown","CIN","238.7","1036.6","7.8","64.1","427.4","3.9","1.1","246.7"
"Saquon Barkley","PHI","295.8","1298.4","8.2","42.1","330.6","2.1","1.0","243.9"
"Kenneth Walker III","KC","267.2","1207.1","8.7","45.8","352.7","1.2","0.9","236.3"
"Ashton Jeanty","LV","257.6","1038.0","7.3","56.5","399.3","3.0","1.1","231.9"
"Omarion Hampton","LAC","243.7","1035.6","9.5","49.9","342.4","1.9","1.0","228.9"
"Jeremiyah Love","ARI","236.6","1049.0","6.9","54.6","428.3","2.1","2.2","224.3"
"Javonte Williams","DAL","263.8","1195.7","10.7","33.6","193.9","1.2","1.6","223.9"
"Breece Hall","NYJ","248.8","1113.1","6.2","46.4","404.5","2.2","1.7","222.3"
"Kyren Williams","LAR","235.5","1095.7","9.7","33.5","237.0","2.2","1.5","218.6"
"Travis Etienne Jr.","NO","253.2","1069.6","5.4","45.7","358.3","3.0","1.0","214.2"
"Cam Skattebo","NYG","237.4","989.0","7.9","43.9","342.9","2.2","1.6","212.6"
"D'Andre Swift","CHI","232.5","1050.1","8.0","35.2","303.8","1.0","1.0","205.5"
"Quinshon Judkins","CLE","289.8","1105.7","8.1","33.0","223.5","0.6","0.9","199.8"
"Bucky Irving","TB","252.7","1004.7","5.8","39.6","333.0","2.2","1.0","199.7"
"Bhayshul Tuten","JAC","239.4","980.2","8.6","29.2","222.2","2.1","2.2","194.8"
"David Montgomery","HOU","235.7","978.2","7.8","30.9","228.7","0.5","1.5","182.9"
"Jaylen Warren","PIT","189.4","833.1","4.9","42.4","321.7","1.8","1.0","174.8"
"Jadarian Price","SEA","215.5","912.2","7.6","26.0","220.1","1.1","2.0","174.5"
"TreVeyon Henderson","NE","185.8","852.3","6.9","35.2","244.3","1.2","0.8","173.9"
"Tony Pollard","TEN","235.8","1032.7","5.5","31.9","208.1","0.5","2.1","171.7"
"Rhamondre Stevenson","NE","168.6","723.1","6.6","39.5","334.8","1.7","2.1","171.1"
"J.K. Dobbins","DEN","219.6","1027.5","6.9","19.5","104.4","0.6","0.7","166.3"
"Rico Dowdle","PIT","201.4","875.6","5.9","31.7","221.9","1.0","1.0","165.0"
"Chuba Hubbard","CAR","180.3","736.9","5.0","36.0","255.9","1.8","0.9","156.2"
"Jonathon Brooks","CAR","191.9","792.6","5.2","30.9","235.6","1.1","1.5","153.2"
"Kenny Gainwell","TB","116.6","512.1","4.2","49.7","351.6","2.0","0.9","146.7"
"MarShawn Lloyd","GB","186.1","792.7","6.5","20.2","156.4","1.0","1.8","146.1"
"Kyle Monangai","CHI","190.5","814.4","5.1","23.0","195.2","0.4","0.7","144.5"
"Rachaad White","WAS","137.0","605.2","5.4","35.7","247.7","1.6","0.8","143.2"
"Aaron Jones Sr.","MIN","150.0","639.1","3.1","40.8","301.3","1.7","1.0","141.1"
"Jacory Croskey-Merritt","WAS","185.1","831.0","7.5","12.3","91.2","0.2","1.8","141.1"
"RJ Harvey","DEN","107.6","406.2","4.0","45.9","341.5","3.2","0.7","139.1"
"Jordan Mason","MIN","192.9","879.3","6.2","14.5","75.8","0.1","1.1","138.3"
"Blake Corum","LAR","172.0","822.5","6.4","11.9","80.6","0.2","0.7","134.7"
"Josh Jacobs","GB","163.3","661.5","6.2","20.6","163.4","1.0","1.0","134.1"
"Tyjae Spears","TEN","94.8","379.1","3.0","45.8","306.0","1.2","0.7","115.1"
"Woody Marks","HOU","145.5","567.3","2.7","24.1","197.2","1.8","0.8","113.7"
"Zach Charbonnet","SEA","125.9","513.8","5.3","18.4","136.3","0.5","0.7","107.5"
"Isiah Pacheco","DET","136.7","579.5","3.4","19.5","120.7","0.8","0.7","103.4"
"Alvin Kamara","NO","114.0","439.9","2.4","31.9","223.3","1.0","0.8","100.6"
"Justice Hill","BAL","61.3","296.4","2.3","32.7","283.1","1.8","0.2","98.7"
"Chris Rodriguez Jr.","JAC","135.5","561.2","5.1","5.4","42.8","0.1","0.6","93.0"
"Mike Washington Jr.","LV","126.7","489.7","3.1","17.9","145.5","0.6","1.2","92.8"
"Dylan Sampson","CLE","74.2","256.7","1.4","37.9","291.7","2.1","1.2","92.0"
"AJ Dillon","CAR","121.0","532.0","3.0","18.0","146.0","1.0","5.0","90.8"
"Braelon Allen","NYJ","111.7","448.9","4.5","13.9","100.8","0.7","1.7","89.6"
"Samaje Perine","CIN","98.4","441.3","3.7","17.9","135.6","0.4","1.9","87.1"
"Tyler Allgeier","ARI","112.5","416.5","4.2","17.2","111.8","0.2","0.6","86.4"
"Kaelon Black","SF","113.6","452.1","3.6","10.6","95.2","0.7","1.2","83.3"
"Ty Johnson","BUF","51.9","222.5","2.1","22.8","244.1","2.2","0.2","83.0"
