"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1068.6","6.8","0.2","201.5"
"Brock Bowers","LV","96.6","1023.0","7.5","0.2","195.4"
"Colston Loveland","CHI","79.3","928.3","6.7","0.2","172.1"
"Tyler Warren","IND","78.9","877.8","5.5","0.3","159.7"
"Harold Fannin Jr.","CLE","82.6","834.3","5.7","0.8","157.5"
"George Kittle","SF","70.2","795.8","6.2","0.2","151.7"
"Kyle Pitts Sr.","ATL","77.2","845.2","4.4","0.1","149.2"
"Sam LaPorta","DET","70.5","813.7","5.5","0.2","149.0"
"Dallas Goedert","PHI","65.5","690.1","7.6","0.2","146.7"
"Travis Kelce","KC","74.9","784.8","4.8","0.3","144.4"
"Tucker Kraft","GB","60.0","761.1","6.4","0.2","144.1"
"Mark Andrews","BAL","59.6","618.2","7.7","0.3","137.3"
"Isaiah Likely","NYG","63.7","744.4","5.0","1.3","133.9"
"Dalton Kincaid","BUF","56.8","706.2","5.5","0.2","131.4"
"Jake Ferguson","DAL","74.0","605.6","5.9","1.4","130.4"
"Hunter Henry","NE","55.5","651.0","5.4","0.1","125.2"
"Juwan Johnson","NO","65.2","736.3","3.3","1.3","123.3"
"Brenton Strange","JAC","60.0","661.3","4.3","0.2","121.8"
"Dalton Schultz","HOU","65.9","629.0","3.4","0.2","115.7"
"T.J. Hockenson","MIN","64.1","574.9","3.3","0.2","108.9"
"Pat Freiermuth","PIT","53.0","559.6","4.3","0.2","107.6"
"Greg Dulcich","MIA","54.9","621.1","3.2","1.2","106.4"
"Terrance Ferguson","LAR","39.0","532.8","5.1","0.2","103.2"
"Cade Otton","TB","54.8","557.1","3.1","0.1","101.4"
"Kenyon Sadiq","NYJ","48.7","535.2","4.0","0.7","100.4"
"AJ Barner","SEA","48.6","469.5","4.9","0.2","100.1"
"Chig Okonkwo","WAS","52.7","568.7","2.8","0.1","99.6"
"Darren Waller","CAR","43.3","446.2","4.7","0.1","94.1"
"Evan Engram","DEN","53.4","475.8","2.7","0.1","90.4"
"Mike Gesicki","CIN","42.7","447.9","3.7","0.1","88.3"
"Gunnar Helm","TEN","48.9","443.6","3.1","0.2","87.1"
"David Njoku","LAC","42.3","396.2","4.3","0.1","86.2"
"Mason Taylor","NYJ","46.5","408.9","2.5","0.1","78.7"
"Oronde Gadsden II","LAC","34.1","423.2","2.8","0.6","75.2"
"Colby Parkinson","LAR","33.4","342.2","4.0","0.6","73.8"
"Michael Mayer","LV","40.0","376.7","2.1","0.1","70.0"
"Dawson Knox","BUF","28.7","331.4","2.9","0.1","64.9"
"Theo Johnson","NYG","28.1","313.3","2.9","0.1","62.4"
"Darnell Washington","PIT","30.7","329.0","2.0","0.6","58.7"
"Erick All Jr.","CIN","33.1","288.5","2.1","0.1","57.7"
"Tyler Higbee","LAR","25.1","296.7","2.4","0.0","56.6"
"Cole Kmet","CHI","26.3","274.3","2.2","0.1","53.8"
"Noah Fant","NO","29.9","279.7","1.6","1.6","49.5"
"Will Kacmarek","MIA","26.5","251.4","1.9","0.6","48.5"
"Charlie Kolar","LAC","20.2","229.9","2.0","0.1","45.3"
"Jonnu Smith","GB","22.5","204.8","2.1","0.1","43.9"
"Brock Wright","DET","20.9","187.6","2.3","0.0","43.0"
"Josh Oliver","MIN","18.6","194.3","2.4","0.1","42.9"
"Daniel Bellinger","TEN","19.3","222.2","1.8","0.0","42.3"
"Adam Trautman","DEN","21.3","216.7","1.6","0.1","42.1"
"Austin Hooper","ATL","21.9","225.4","1.3","0.1","41.0"
"Eli Raridon","NE","20.7","214.6","1.7","0.6","40.8"
"Tommy Tremble","CAR","21.1","197.8","1.8","0.1","40.8"
"Noah Gray","KC","21.0","211.4","1.5","0.1","40.4"
"Eli Stowers","PHI","20.9","214.9","1.4","0.6","39.1"
"Elijah Arroyo","SEA","19.0","198.7","1.6","0.1","38.7"
"Davis Allen","LAR","16.9","157.2","1.9","0.0","35.3"
"Ja'Tavion Sanders","CAR","22.2","178.1","1.0","0.1","35.0"
"Elijah Higgins","ARI","21.9","201.5","0.8","0.6","35.0"
"Marlin Klein","HOU","19.5","194.4","1.1","0.5","34.8"
"John Bates","WAS","17.0","169.2","1.6","0.6","33.8"
"Jeremy Ruckert","NYJ","19.7","146.3","1.3","0.0","32.0"
"Drew Sample","CIN","17.3","141.6","1.2","0.1","30.0"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","29.8"
"Jake Tonges","SF","15.1","149.9","1.2","0.0","29.8"
"Connor Heyward","LV","14.0","102.0","2.0","0.0","29.2"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","25.8"
"Cade Stover","HOU","15.3","127.8","0.9","0.1","25.5"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","25.4"
"Ben Sinnott","WAS","11.0","114.2","1.4","0.0","25.3"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"Luke Schoonmaker","DAL","13.2","121.5","0.9","0.0","24.4"
"Luke Musgrave","GB","13.7","132.3","0.7","0.0","24.1"
"Foster Moreau","HOU","9.3","105.2","1.3","0.0","22.9"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","22.8"
"Dallen Bentley","DEN","12.0","104.0","1.0","0.0","22.4"
"Mo Alie-Cox","IND","10.6","113.7","0.9","0.1","22.1"
"Charlie Woerner","ATL","13.5","114.4","0.6","0.0","21.7"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","21.1"
"Jared Wiley","KC","11.0","96.0","1.0","0.0","21.1"
"Will Mallory","IND","8.0","97.0","1.0","0.0","19.7"
"Kylen Granson","TEN","10.0","83.0","1.0","0.0","19.3"
"Oscar Delp","NO","9.4","94.5","0.7","0.0","18.5"
"Durham Smythe","BAL","8.9","86.4","0.9","0.0","18.2"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","17.2"
"Payne Durham","TB","7.6","80.8","0.8","0.0","16.7"
"Max Klare","LAR","7.5","82.5","0.7","0.0","16.1"
"Grant Calcaterra","PHI","8.5","87.5","0.5","0.0","16.0"
"Seydou Traore","MIA","8.1","78.7","0.7","0.0","15.8"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","14.7"
"Sam Roush","CHI","6.8","72.4","0.6","0.0","14.5"
"Josh Whyle","GB","7.1","61.8","0.7","0.0","13.8"
"Hunter Long","ARI","7.9","60.6","0.6","0.0","13.6"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","13.3"
"Ian Thomas","LV","6.9","61.5","0.6","0.0","13.0"
"Ko Kieft","TB","5.8","58.5","0.7","0.0","12.6"
"Drew Ogletree","IND","5.8","55.6","0.6","0.0","12.2"
"Blake Whiteheart","CLE","7.1","63.4","0.3","0.1","11.9"
"Chris Manhertz","NYG","5.4","50.6","0.6","0.0","11.1"
"Jackson Meeks","DET","3.9","37.2","0.3","0.0","7.5"
"Luke Farrell","SF","3.8","36.0","0.3","0.0","6.9"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"Carsen Ryan","CLE","3.8","33.8","0.2","0.0","6.2"
"Tyler Conklin","DET","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","CIN","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"Ben Sims","MIA","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
"Tip Reiman","ARI","0.0","0.0","0.0","0.0","0.0"
"CJ Dippre","TB","0.0","0.0","0.0","0.0","0.0"
"Joe Royer","CLE","0.0","0.0","0.0","0.0","0.0"
""
""
