"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","12.9","85.0","1.3","1.0","281.0"
"Ja'Marr Chase","CIN","121.3","1511.4","10.6","3.0","17.0","0.0","1.0","275.2"
"Jaxon Smith-Njigba","SEA","110.9","1567.9","9.5","5.5","30.4","0.1","1.1","270.5"
"Amon-Ra St. Brown","DET","117.4","1391.0","10.5","3.1","11.8","0.0","0.4","261.3"
"Drake London","ATL","98.4","1272.9","8.8","0.0","0.0","0.0","1.0","227.1"
"CeeDee Lamb","DAL","97.2","1294.6","7.5","2.4","12.6","0.0","0.3","224.0"
"Justin Jefferson","MIN","98.8","1310.8","6.8","1.3","5.6","0.0","0.3","221.4"
"Rashee Rice","KC","96.5","1069.2","9.6","5.8","25.9","0.9","0.6","219.2"
"Chris Olave","NO","95.7","1196.0","8.2","0.3","0.0","0.0","0.3","216.1"
"A.J. Brown","NE","87.7","1233.5","7.7","0.0","0.0","0.0","0.3","212.7"
"George Pickens","DAL","82.3","1200.4","8.4","0.3","-0.3","0.0","0.4","210.6"
"Nico Collins","HOU","82.6","1209.7","7.6","1.4","8.3","0.4","0.8","209.1"
"Zay Flowers","BAL","81.2","1156.6","6.5","9.9","58.8","0.5","1.5","201.0"
"Malik Nabers","NYG","82.1","1079.6","8.4","2.8","8.3","0.1","0.4","199.8"
"Garrett Wilson","NYJ","96.4","1095.5","6.4","1.1","4.3","0.0","1.1","194.8"
"Tetairoa McMillan","CAR","81.1","1145.1","6.6","0.0","0.0","0.0","0.9","193.1"
"DeVonta Smith","PHI","87.8","1136.5","6.0","0.0","0.0","0.0","0.3","193.1"
"Emeka Egbuka","TB","73.2","1096.9","7.5","1.4","7.3","0.0","0.3","191.6"
"Davante Adams","LAR","68.9","925.2","10.2","0.0","0.0","0.0","0.2","187.8"
"Tee Higgins","CIN","70.8","965.3","9.1","0.0","0.0","0.0","0.2","186.2"
"Jameson Williams","DET","64.4","1065.8","6.6","7.3","42.1","0.5","0.2","185.1"
"Ladd McConkey","LAC","79.2","1009.1","6.4","0.0","0.0","0.0","0.3","178.6"
"Terry McLaurin","WAS","68.6","971.1","7.4","0.3","0.3","0.0","0.3","175.0"
"Rome Odunze","CHI","62.6","964.9","7.8","0.3","1.3","0.0","0.3","174.1"
"DJ Moore","BUF","69.1","904.6","7.0","10.3","54.0","0.5","0.8","173.6"
"Jaylen Waddle","DEN","74.5","991.9","6.0","1.7","12.4","0.0","0.3","173.2"
"Luther Burden III","CHI","72.6","974.5","5.7","7.7","37.9","0.1","0.3","171.8"
"Christian Watson","GB","58.0","923.3","7.7","1.7","8.6","0.0","0.3","168.3"
"Courtland Sutton","DEN","67.4","884.4","7.2","0.0","0.0","0.0","0.2","164.8"
"Alec Pierce","IND","56.3","974.9","6.4","0.0","0.0","0.0","0.2","163.7"
"Marvin Harrison Jr.","ARI","66.2","946.2","6.0","0.0","0.0","0.0","0.3","163.2"
"Mike Evans","SF","64.9","914.5","6.6","0.0","0.0","0.0","0.2","163.1"
"DK Metcalf","PIT","64.3","926.4","6.1","0.7","3.3","0.3","0.2","163.0"
"Parker Washington","JAC","62.6","862.5","5.7","5.0","13.7","0.1","0.4","153.0"
"Brian Thomas Jr.","JAC","58.0","870.9","5.4","2.7","17.7","0.4","0.2","152.1"
"Michael Pittman Jr.","PIT","80.5","805.6","5.0","0.0","0.0","0.0","0.3","150.0"
"Carnell Tate","TEN","65.2","887.0","4.5","0.7","3.0","0.0","1.4","145.7"
"Jayden Reed","GB","63.2","752.8","4.8","12.6","94.5","0.2","0.4","145.4"
"Jakobi Meyers","JAC","68.3","787.3","5.1","4.3","22.7","0.1","0.8","144.6"
"Michael Wilson","ARI","67.5","839.7","4.5","0.0","0.7","0.0","0.2","144.1"
"Quentin Johnston","LAC","53.6","756.2","6.9","1.7","5.9","0.0","0.7","143.0"
"Chris Godwin Jr.","TB","67.8","773.4","5.2","0.3","0.3","0.0","0.3","141.8"
"Jordan Addison","MIN","55.3","758.3","5.4","2.7","37.2","0.4","0.2","141.5"
"Xavier Worthy","KC","55.2","721.8","4.2","15.8","101.4","0.9","0.2","140.0"
"Wan'Dale Robinson","TEN","79.9","805.1","3.0","2.0","9.5","0.1","0.3","139.0"
"De'Zhaun Stribling","SF","56.1","829.2","4.9","1.5","6.5","0.0","1.3","138.4"
"Matthew Golden","GB","58.0","780.1","4.6","6.1","30.8","0.1","0.4","137.4"
"Deebo Samuel Sr.","SF","56.8","638.8","4.4","29.1","112.1","1.1","0.4","135.3"
"Romeo Doubs","NE","57.1","745.1","5.5","0.0","0.0","0.0","0.3","135.3"
"Stefon Diggs","WAS","68.3","761.1","4.2","0.3","0.7","0.0","0.3","135.1"
"KC Concepcion","CLE","63.8","792.5","3.6","4.2","22.5","0.1","1.3","132.8"
"Rashid Shaheed","SEA","49.9","754.7","3.8","13.4","88.9","0.3","0.8","131.7"
"Khalil Shakir","BUF","69.7","725.8","3.9","1.1","5.5","0.0","0.8","130.1"
"Josh Downs","IND","69.0","704.6","4.2","1.4","4.2","0.0","0.8","129.4"
"Jalen Coker","CAR","60.1","716.8","4.5","0.0","0.0","0.0","0.8","127.1"
"Jerry Jeudy","CLE","59.0","775.4","3.4","0.5","2.0","0.0","0.7","125.9"
"Calvin Ridley","TEN","46.7","761.7","3.2","4.5","27.5","0.6","0.2","124.7"
"Makai Lemon","PHI","52.6","736.8","4.3","1.5","6.5","0.0","1.3","124.1"
"Denzel Boston","CLE","59.2","737.6","3.5","1.0","5.0","0.0","1.3","122.1"
"Tre Tucker","LV","50.2","631.8","3.8","11.2","54.7","0.2","0.1","117.0"
"Rashod Bateman","BAL","38.8","598.2","6.0","0.0","0.0","0.0","0.2","114.8"
"Kayshon Boutte","HOU","45.1","628.2","4.8","0.0","0.0","0.0","0.2","113.7"
"Keenan Allen","IND","58.4","606.9","3.9","0.0","0.0","0.0","0.3","112.4"
"Ja'Kobi Lane","BAL","39.2","591.6","5.4","1.5","8.5","0.0","0.7","110.6"
"Jalen McMillan","TB","46.6","606.1","3.9","4.7","26.8","0.1","0.2","110.4"
"Jauan Jennings","MIN","48.9","557.7","5.2","0.0","0.0","0.0","0.7","109.9"
"Jalen Nailor","LV","43.6","587.8","4.0","2.0","9.0","0.0","0.2","105.4"
"Devaughn Vele","NO","47.7","567.4","3.7","0.0","0.0","0.0","0.2","102.3"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","101.4"
"Jaylin Noel","HOU","45.3","517.0","3.6","5.1","17.6","0.1","0.3","97.5"
"Adonai Mitchell","NYJ","40.0","551.8","3.3","2.1","5.1","0.1","0.7","94.5"
